name,easting,northing,latitude,longitude,elevation,speed limit,next,previous,next chargers,dist to next[Km],gradient to next,Rutt_1,Rutt_2,Rutt_3,intersection
startpunkt,,,57.69175,11.978087,,0,p0,0,0,0,,,,,
p0,,,57.69175,11.978087,,50.0,"p1, p44",startpunkt,wrwx62,"3.5 , 2.8 ",,,,,1.0
p1,6398150.0,321233.0,57.6899692996399,12.000933865128085,15.13399600982666,80.0,p2,p0,d9qxyd,4.4 ,0.019706511859666122,1.0,,,
p2,6396444.0,322979.0,57.67535585620909,12.03143265360369,101.8370361328125,100.0,p3,p1,"jkpewx, x8gnp, 8ppxjm, x5y7kr",19.8 ,0.001613902782964119,1.0,,,
p3,6395569.0,342082.0,57.67460989152696,12.351939962761609,133.7922973632812,110.0,p4,p2,jqmqry,34.8 ,0.001218942089048259,1.0,,,
p4,6398837.0,375155.0,57.71433120680023,12.90435372489194,176.2114715576172,80.0,p5,p3,n8rjqn,1.3 ,-0.03010948275966986,1.0,,,
p5,6399174.0,376438.0,57.717710754486376,12.925700839323431,137.0750579833984,70.0,p6,p4,"25wzxj, y29rd9, 99m7gj, 7w69ny, 7epwm5, pg3me2, pg3pjn",3.5 ,0.014462976314921988,1.0,,,
p6,6399776.0,379673.0,57.7239924056751,12.979668145114736,187.6937103271484,80.0,p7,p5,"99w3kx, yrk3pn",2.6 ,0.009473202884172098,1.0,,,
p7,6400200.0,382199.0,57.72846791086904,13.021843587433612,212.3236694335938,110.0,p8,p6,0,25.2 ,0.0011778128788881117,1.0,,,
p8,6408891.0,403108.0,57.8114978931288,13.369262040404632,242.0045471191406,100.0,p9,p7,"wj7d6w, 58pex, 9ddxq",10.1 ,0.004559390313334859,1.0,,,
p9,6407131.0,412821.0,57.7976901563261,13.533313244248149,288.0542297363281,70.0,p10,p8,0,0.6 ,0.01583338453468026,1.0,,,
p10,6406921.0,413381.0,57.79591306883709,13.542807124095848,297.5538635253906,100.0,p11,p9,0,7.4 ,0.0012634940545049548,1.0,,,
p11,6404988.0,420219.0,57.779824457818094,13.658449401042024,306.9037170410156,70.0,p12,p10,0,1.9 ,-0.0032528262029840787,1.0,,,
p12,6404377.0,421981.0,57.77464769177518,13.68826814207017,300.7233581542969,100.0,p13,p11,0,8.6 ,-0.009735584132076284,1.0,,,
p13,6403156.0,430071.0,57.765016847763306,13.824606708410077,216.9986572265625,70.0,p14,p12,0,0.7 ,-0.0019678401023522753,1.0,,,
p14,6402759.0,430607.0,57.7615347963065,13.833728737218156,215.6211700439453,100.0,p15,p13,0,6.7 ,0.005684578609281422,1.0,,,
p15,6401771.0,437143.0,57.75362485027366,13.943814109161677,253.7076416015625,70.0,p16,p14,0,1.2 ,-0.0007814662457172777,1.0,,,
p16,6401461.0,438346.0,57.75100760886186,13.96410394004664,252.7698822021484,100.0,p17,p15,0,8.8 ,-0.0030879000405292407,1.0,,,
p17,6403017.0,446188.0,57.76599102993234,14.09549418491778,225.5964050292969,90.0,p18,p16,"yrejpw, nzgwdz",5.6 ,-0.02328921216148515,1.0,,,
p18,6402164.0,450288.0,57.75880289523817,14.164577646806816,95.18860626220705,80.0,p19,p17,"gexywg, wj5ddr, 9kqwmg, pj2qj6, 6352mj, 8kzwp, wykxw",7.0 ,0.0015032844755920186,1.0,,,
p19,6405277.0,455800.0,57.78733942150335,14.256624529382792,105.7115936279297,90.0,p20,p18,"39e5kp, mzzeg2",3.4 ,0.0029136407227310455,1.0,,,
p20,6408388.0,456739.0,57.81537281953925,14.271852924879225,115.6179580688477,110.0,p21,p19,"396296, wkwxy, n8gez8",27.6 ,0.004605439198611539,1.0,,,
p21,6431072.0,469132.0,58.02014176692268,14.477483577478448,242.7276306152344,120.0,p22,p20,"5wm9k, nerng, 3jd2q, 998ngz, 5y68yw, e2zx8, 6qwm3, r5gkq, 55zjrd, dn86nw, m6kz5e, wqqg2z, 6qq8e, wqx67g",80.1 ,-0.002068505303769911,1.0,,,
p22,6475788.0,528556.0,58.42190947372946,15.488871965226174,77.04047393798828,110.0,p23,p21,"63m6rq, kez97, n37g7, 2j2eej, jqne9e, m6xzww, rew5jg, j5p57, 5npmrn, qk2rq9, degky, 7n3zmw, ge83rw, pgrzxj,  yrqkq5, 7w6dwk, 5yggr9, 68knx, r3q8w2, wk9m3, j56yj, wjn2q5, 26wqy",104.0,-0.0006678220850992916,1.0,,,
p23,6513983.0,614317.0,58.75074375757095,16.97569415108389,7.586982250213623,90.0,p24,p22,"kje5j6, 96j956",4.2 ,0.005575043289273373,1.0,,,
p24,6516471.0,617246.0,58.77228921227742,17.027579396930832,31.00204277038574,110.0,p25,p23,"7pgrg, d89pk, z83jd",59.6 ,-6.531452972663364e-06,1.0,,,
p25,6560370.0,651252.0,59.15554038490609,17.64503529221247,30.61276817321777,100.0,p26,p24,"e8n3z, kzggxg, m6gge8",19.4 ,-0.000947345452581043,1.0,,,
p26,6571932.0,663482.0,59.25471461676669,17.867297303828458,12.23426914215088,80.0,p27,p25,0,2.2 ,0.01731649892490581,1.0,,,
p27,6573039.0,665145.0,59.263997772842025,17.897264830244396,50.32866287231445,70.0,p28,p26,"w6jz7, wk9d6, 95rz7",1.5 ,-0.005398542559794868,1.0,,,
p28,6574134.0,666046.0,59.27346597240496,17.91388738935072,42.23088836669922,80.0,p29,p27,0,1.3 ,0.0035012683512040755,1.0,,,
