name,easting,northing,latitude,longitude,elevation,speed limit,next,previous,next chargers,dist to next[Km],gradient to next
startpunkt,0.0,0.0,57.69175,11.978087,45.29450988769531,0.0,r1_p0,0,0,0,0
r1_p0,0.0,0.0,57.69175,11.978087,45.29450988769531,50.0,r1_p1,startpunkt,wrwx62,3.5,-0.008617396332946963
r1_p1,6398150.0,321233.0,57.6899692996399,12.000933865128085,15.13399600982666,80.0,r1_p2,r1_p0,d9qxyd,4.4,0.019706511859666122
r1_p2,6396444.0,322979.0,57.67535585620909,12.03143265360369,101.8370361328125,100.0,r1_p3,r1_p1,"jkpewx, 96jkx9, y29rd9, 8ppxjm, x5ywp2",19.8,0.001613902782964119
r1_p3,6395569.0,342082.0,57.67460989152696,12.351939962761609,133.7922973632812,110.0,r1_p4,r1_p2,jqne9e,34.8,0.001218942089048259
r1_p4,6398837.0,375155.0,57.71433120680023,12.90435372489194,176.2114715576172,80.0,r1_p5,r1_p3,nerng,1.3,-0.03010948275966986
r1_p5,6399174.0,376438.0,57.717710754486376,12.925700839323431,137.0750579833984,70.0,r1_p6,r1_p4,"25wzxj, ye2em, 99m7gj, 7w69ny, 7epwm5, pg3pjn, pg6g99",3.5,0.014462976314921988
r1_p6,6399776.0,379673.0,57.7239924056751,12.979668145114736,187.6937103271484,80.0,r1_p7,r1_p5,"99w3kx, yrqkq5",2.6,0.009473202884172098
r1_p7,6400200.0,382199.0,57.72846791086904,13.021843587433612,212.3236694335938,110.0,r1_p8,r1_p6,0,25.2,0.0011778128788881117
r1_p8,6408891.0,403108.0,57.8114978931288,13.369262040404632,242.0045471191406,100.0,r1_p9,r1_p7,"wjn2q5, 58pex, 9ddxq",10.1,0.004559390313334859
r1_p9,6407131.0,412821.0,57.7976901563261,13.533313244248149,288.0542297363281,70.0,r1_p10,r1_p8,0,0.6,0.01583338453468026
r1_p10,6406921.0,413381.0,57.79591306883709,13.542807124095848,297.5538635253906,100.0,r1_p11,r1_p9,0,7.4,0.0012634940545049548
r1_p11,6404988.0,420219.0,57.779824457818094,13.658449401042024,306.9037170410156,70.0,r1_p12,r1_p10,0,1.9,-0.0032528262029840787
r1_p12,6404377.0,421981.0,57.77464769177518,13.68826814207017,300.7233581542969,100.0,r1_p13,r1_p11,0,8.6,-0.009735584132076284
r1_p13,6403156.0,430071.0,57.765016847763306,13.824606708410077,216.9986572265625,70.0,r1_p14,r1_p12,0,0.7,-0.0019678401023522753
r1_p14,6402759.0,430607.0,57.7615347963065,13.833728737218156,215.6211700439453,100.0,r1_p15,r1_p13,0,6.7,0.005684578609281422
r1_p15,6401771.0,437143.0,57.75362485027366,13.943814109161677,253.7076416015625,70.0,r1_p16,r1_p14,0,1.2,-0.0007814662457172777
r1_p16,6401461.0,438346.0,57.75100760886186,13.96410394004664,252.7698822021484,100.0,r1_p17,r1_p15,0,8.8,-0.0030879000405292407
r1_p17,6403017.0,446188.0,57.76599102993234,14.09549418491778,225.5964050292969,90.0,r1_p18,r1_p16,"yrekr7, nzxyz7",5.6,-0.02328921216148515
r1_p18,6402164.0,450288.0,57.75880289523817,14.164577646806816,95.18860626220705,80.0,r1_p19,r1_p17,"gexywg, 9kqwmg, pjw6ez, 6352mj, 8kzwp, x532pn, wj7d6w",7.0,0.0015032844755920186
r1_p19,6405277.0,455800.0,57.78733942150335,14.256624529382792,105.7115936279297,90.0,r1_p20,r1_p18,"n37g7, 39e5kp",3.4,0.0029136407227310455
r1_p20,6408388.0,456739.0,57.81537281953925,14.271852924879225,115.6179580688477,110.0,r1_p21,r1_p19,"396296, n8pw2j",27.6,0.004605439198611539
r1_p21,6431072.0,469132.0,58.02014176692268,14.477483577478448,242.7276306152344,120.0,r1_p22,r1_p20,"5wm9k, newkx",19.2,-0.0046468313873910365
r1_p22,,,58.178445,14.595171,153.5087890625,120.0,r1_p23,r1_p21,"3jd2q, 998ngz, 5y68yw, e2zx8",32.8,-0.0004587885389547302
r1_p23,,,58.318937,15.056607,138.4605255126953,120.0,r1_p24,r1_p22,"6qwm3, r8382, 55zjrd, jqmqry, dn86nw, m6xzww, 6qq8e",28.1,-0.0021857687004027955
r1_p24,6475788.0,528556.0,58.42190947372946,15.488871965226174,77.04047393798828,110.0,r1_p25,r1_p23,"63m6rq, kje5j6, rp3jej, m7r6j, j5p57, 5npmrn, qkqq5q, degky, 2j2eej, jqydqp, n8gez8, m6kz5e, pj2qj6, ge83rw, 7n3zmw, yw5ej",38.8,-0.0012228489511860194
r1_p25,,,58.555065,16.057617,29.59394645690918,110.0,r1_p26,r1_p24,"5yggr9, 7w6dwk, 68knx, wkwxy, r5gkq",15.3,-0.0012983254733003194
r1_p26,,,58.661769,16.19944,9.729572296142578,110.0,r1_p27,r1_p25,j56yj,25.5,0.0013434761947311163
r1_p27,,,58.755036,16.571309,43.98820495605469,110.0,r1_p28,r1_p26,0,24.1,-0.0015104247529750812
r1_p28,6513983.0,614317.0,58.75074375757095,16.97569415108389,7.586982250213623,90.0,r1_p29,r1_p27,"kjed5y, 96j956, wk9d6, 26wqy",4.2,0.005575043289273373
r1_p29,6516471.0,617246.0,58.77228921227742,17.027579396930832,31.00204277038574,110.0,r1_p30,r1_p28,"7pgrg, d89pk",32.1,-0.0001000543399947167
r1_p30,,,58.953684,17.43957,27.79029846191406,110.0,r1_p31,r1_p29,z8k68,27.5,0.00010263526240941911
r1_p31,6560370.0,651252.0,59.15554038490609,17.64503529221247,30.61276817321777,100.0,r1_p32,r1_p30,"e8n3z, m6kdek, m6gge8",19.4,-0.000947345452581043
r1_p32,6571932.0,663482.0,59.25471461676669,17.867297303828458,12.23426914215088,80.0,r1_p33,r1_p31,0,2.2,0.01731649892490581
r1_p33,6573039.0,665145.0,59.263997772842025,17.897264830244396,50.32866287231445,70.0,r1_p34,r1_p32,"wj5ddr, wk9m3, 95rz7",1.5,-0.005398542559794868
r1_p34,6574134.0,666046.0,59.27346597240496,17.91388738935072,42.23088836669922,80.0,r1_p35,r1_p33,0,1.3,0.0035012683512040755
r1_p35,6574662.0,666268.0,59.2781142234948,17.918182762553762,46.78252792358398,70.0,r1_p36,r1_p34,0,1.5,-0.0041042875442197455
r1_p36,6575531.0,667470.0,59.28543367613948,17.93991943574536,40.62611389160156,80.0,r1_p37,r1_p35,0,3.2,0.00046363832227471613
r1_p37,6576242.0,670582.0,59.2905662155296,17.995025117722122,42.10975646972656,70.0,r1_p38,r1_p36,"qk27ry, 39ej7e, rew5jg, 8nxg9g, 8p8z9y, ge3qzn",12.9,-0.0026335280940885534
r1_p38,6585899.0,671275.0,59.37688791790609,18.01484201184811,8.137283325195312,80.0,r1_p39,r1_p37,nz7rmn,9.4,0.003854257914218544
r1_p39,6589094.0,668179.0,59.406787988426814,17.962931860541747,44.36721801757812,70.0,r1_p40,r1_p38,0,0.8,-0.009625850554012216
r1_p40,6589570.0,667511.0,59.411323214659845,17.951553009135097,36.66665649414062,80.0,r1_p41,r1_p39,0,2.5,0.0028587105587089615
r1_p41,6591204.0,665791.0,59.426658696531206,17.922556008397763,43.81342315673828,70.0,r1_p42,r1_p40,0,1.9,-0.0024558342974422727
r1_p42,6593006.0,665712.0,59.44285081877633,17.922559774125943,39.14734268188477,80.0,r1_p43,r1_p41,7e9736,3.2,-0.005008261874937901
r1_p43,6596094.0,665077.0,59.47079513748178,17.91376129934247,23.1209716796875,100.0,r1_p44,r1_p42,"x8gnp, q5rjez, jkyg7r",6.7,-0.0004151851147040917
r1_p44,6602694.0,665311.0,59.52989372730162,17.923002922028648,20.33923149108887,110.0,r1_p45,r1_p43,"z83jd, yrejpw, 25p56g, jq3xpk, mzzeg2, m6krn9, 96jknd",38.5,-0.0002417346185224527
r1_p45,6637025.0,651996.0,59.84287712471831,17.712683978663925,11.03244876861572,70.0,r1_p46,r1_p44,"yrk3pn, nzyp9g",0.8,-0.0047032887291711565
r1_p46,6637203.0,651425.0,59.844683117860185,17.702636028084964,7.269831657409668,60.0,r1_p47,r1_p45,"rpedne, 28zxep, re8m7k",5.3,0.005219494209128362
r1_p47,6635845.0,648079.0,59.83371343584347,17.642025567567885,34.93302536010742,40.0,r1_p48,r1_p46,0,2.9,0.0007125236851049802
r1_p48,6635017.0,647412.0,59.826524403833744,17.629553735049477,36.99934387207031,30.0,r1_p49,r1_p47,0,0.7,0.003013217581154107
r1_p49,6635080.0,646809.0,59.827303839137535,17.618854845188693,39.10859298706055,40.0,slutpunkt,r1_p48,0,0.8,-0.0014594417030920316
slutpunkt,6635775.0,646523.0,59.83363943735781,17.61424801843739,37.9410400390625,0.0,0,0,0,,0
