name,location,nearest highway,dist to highway,prev point,next point,dist to prev point,dist to next point,elevation,gradient
396296,"57.92478, 14.32049","57.92132, 14.31351",0.7,r1_p20,r1_p21,12.4 ,17.9 ,181.6578369140625,
22mr3,"59.275063, 15.177728","59.273954, 15.178668",0.8,r3_p42,r3_p43,4.8 ,5.1 ,30.85161972045898,
23d6j,"59.61468, 16.57641","59.6142218, 16.572012",0.8,r3_p47,r3_p48,3.9 ,0.081 ,23.46260070800781,
25jn8k,"58.420853, 13.875119","58.39489011798868, 13.873343444113067 ",3.9,r2_p17,r2_p18,0.092 ,1.7 ,138.8826293945312,
25p56g,"59.84441, 17.730461","59.830110, 17.736933 ",2.3,r1_p44,r1_p45,36.1 ,2.5 ,20.0844783782959,
25wzxj,"57.719977, 12.971789","57.71926, 12.96782",0.4,r1_p5,r1_p6,2.6 ,1.1 ,165.7419128417969,
26wqy,"58.746799, 16.995163","58.74903, 16.97043",1.9,r1_p28,r1_p29,11.1 ,5.3 ,5.796505451202393,
28npwk,"59.63752, 17.07791","59.654025, 17.073535",2.5,r3_p51,r3_p52,1.6 ,5.1 ,16.43357086181641,
28zxep,"59.848957, 17.660295","59.84524, 17.667745",0.8,r1_p46,r1_p47,2.1 ,3.9 ,5.326797008514404,
2j2eej,"58.433701, 15.588425","58.43864, 15.57402",1.7,r1_p24,r1_p25,5.4 ,34.1 ,39.92708587646484,
2j6gp5,"57.74109, 12.126048","57.739669, 12.125790",0.7,r3_p2,r3_p3,6.5 ,2.2 ,8.538640975952148,
2z3xx,"59.613603, 16.467375","59.609703, 16.470216",1.4,r3_p46,r3_p47,2.6 ,3.3 ,28.75115013122559,
397r3j,"59.270528, 15.175194","59.273954, 15.178668",2.1,r3_p42,r3_p43,4.8 ,5.1 ,30.68391418457031,
39e5kp,"57.788846, 14.265471","57.78767, 14.25835",0.7,r1_p19,r1_p20,0.1 ,3.7 ,94.34186553955078,
39ej7e,"59.299715, 18.011615","59.296363, 18.004577",1.8,r1_p37,r1_p38,0.9 ,12.1 ,39.71577453613281,
3jd2q,"58.227074, 14.668253","58.22665, 14.66361",0.7,r1_p22,r1_p23,6.9 ,26.0 ,139.6772918701172,
3qg2q,"58.685551, 13.845325","58.68435, 13.845473",0.5,r3_p24,r3_p25,9.5 ,8.9 ,63.74421310424805,
3ydn9k,"58.677207, 13.814598","58.675199, 13.817232",1.1,r3_p24,r3_p25,7.5 ,9.9 ,59.03345489501953,
55zjrd,"58.323871, 15.09116","58.32502, 15.089637",0.8,r1_p23,r1_p24,2.1 ,26.1 ,130.8026123046875,
58pex,"57.8128, 13.4183","57.80916, 13.42126",0.8,r1_p8,r1_p9,3.2 ,7.3 ,174.9924621582031,
5npmrn,"58.43111, 15.584546","58.43864, 15.57402",1.4,r1_p24,r1_p25,5.4 ,34.1 ,41.46343231201172,
5nyw3k,"59.250107, 15.197427","59.236771, 15.145090",4.3,r3_p42,r3_p43,0.1 ,9.9 ,33.10382461547852,
5wd6y,"59.610415, 16.46276","59.609703, 16.470216",1.9,r3_p46,r3_p47,2.6 ,3.3 ,30.97412300109863,
5wm9k,"58.051829, 14.507365","58.04993, 14.50489",0.6,r1_p21,r1_p22,3.7 ,15.5 ,273.4410095214844,
5wyp3,"59.615011, 16.228658","59.587745, 16.2086658",4.9,r3_p44,r3_p45,14.7 ,9.1 ,29.7573356628418,
5y68yw,"58.227232, 14.6710951","58.22665, 14.66361",0.5,r1_p22,r1_p23,6.9 ,26.0 ,140.14794921875,
5yggr9,"58.56846, 16.08026","58.56663, 16.07184",0.6,r1_p25,r1_p26,1.6 ,18.4 ,33.50630569458008,
